,academicyear,state,control,fte_count,tuition01,tuition02,net_student_tuition,federal03,state03,investment01,appliedaid01,grant06,grant07,institutional_grant_aid_share,tuition_discount,inst_grant_pct,inst_grant_avg_amount,loan_avg_amount,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,grad_rate_150_p,ftretention_rate,year_total_undergrad,admssn,applcn,total_enrollment
0,1987,AK,private,121.77200500000002,1123884.3333333333,,657226.6666666666,,,,,290979.6666666667,466657.6666666667,0.80992551589024,0.26364908013851235,,,,6.0,16.4,8.2,0.0,,,,,,174.08333333333334
1,1987,AK,public,1016.4729603333333,1867486.7,47659.5,1510598.5,789832.0,13726303.2,,,88859.77777777778,407133.44444444444,0.6630461398009224,0.03935243387271839,,,,60.666666666666664,70.08333333333333,23.25,0.5833333333333334,,,,,,1615.4705882352941
2,1987,AL,private,599.7604693793103,3497844.45,76978.33333333333,2080577.4,,824554.5,,,780652.0625,1532226.9473684211,0.5837827466870392,0.2610087361581918,,,,22.047619047619047,99.14285714285714,17.333333333333332,0.0,,,,,,670.0
3,1987,AL,public,3430.309086625,4056529.6,,2516386.9111111113,521397.60869565216,13155216.954545455,,,330062.0,1540142.711111111,0.21200374119852106,0.10390778574659155,,,,289.2448979591837,286.53061224489795,77.42857142857143,5.6938775510204085,,,,,,3844.576923076923
4,1987,AR,private,443.0785925,2345820.0,116166.0,1476240.8461538462,17276.0,,,,454654.2,1002478.0,0.4090266221429154,0.2068229790373708,,,,19.529411764705884,91.47058823529412,10.588235294117647,0.11764705882352941,,,,,,471.0
5,1987,AR,public,2718.7001394,3322256.2,820494.5,1713863.2,3322078.3333333335,13233626.35,,,407614.9411764706,1788953.95,0.19827478286395964,0.1048164193285396,,,,38.476190476190474,130.5,41.023809523809526,2.6666666666666665,,,,,,1587.787234042553
6,1987,AS,public,493.959063,12976.0,472.0,-93003.0,,,,,,106451.0,,,,,,,,,,,,,,,759.0
7,1987,AZ,private,180.0465263076923,1673787.0,,1472826.142857143,1408.0,122379.5,,,115808.5,200960.85714285713,0.6162278971706645,0.3071491996203445,,,,3.875,12.75,111.5,0.0,,,,,,219.4
8,1987,AZ,public,6482.95807075,10040865.315789474,145696.44444444444,6910560.105263158,2678461.6666666665,24434038.222222224,,,1527786.875,3308824.4210526315,0.2266320028410755,0.10461161505820867,,,,237.42105263157896,546.6315789473684,147.57894736842104,26.63157894736842,,,,,,10196.666666666666
9,1987,CA,private,605.2598753068592,11850570.336206896,24416.041666666668,9395294.683760684,27755.0,204409.66666666666,,,2179094.430379747,2623247.623853211,0.7030881045236883,0.15978554124851257,,,,14.406451612903226,143.0258064516129,108.23870967741935,13.619354838709677,,,,,,712.8941979522184
10,1987,CA,public,7568.731341992063,7544671.19047619,341641.6041666667,4745786.858490566,1758527.0980392157,43405182.77142857,,,1583446.0,2944585.2476190478,0.14629063905428283,0.08338258106312134,,,,386.9259259259259,622.5092592592592,138.82407407407408,19.01851851851852,,,,,,10310.454545454546
11,1987,CO,private,512.8963081111111,8916079.6,71651.0,6979480.2,85058.0,,,,1646490.5555555555,1943764.4,0.7016647624879478,0.17375891611000868,,,,11.642857142857142,155.0,60.785714285714285,7.142857142857143,,,,,,637.5185185185185
12,1987,CO,public,3578.9082097941173,9009267.857142856,15690.0,6753480.071428572,67687557.75,11533412.555555556,,,156712.5,3694300.1428571427,0.125992307858998,0.06533652397868213,,,,109.97058823529412,408.2352941176471,95.20588235294117,15.764705882352942,,,,,,4573.8378378378375
13,1987,CT,private,978.7118497555555,17798052.6,74047.5,12950946.1,763000.0,502165.0,,,4447038.933333334,5110159.7894736845,0.6362866548294219,0.13119294038650575,,,,28.096774193548388,215.8709677419355,118.19354838709677,10.96774193548387,,,,,,1229.872340425532
14,1987,CT,public,2622.10846116,4320919.470588235,3895622.6666666665,3125552.375,9705988.5,13383095.57142857,,,719653.5,948526.3913043478,0.21619616952550333,0.045136610334413796,,,,147.92,269.88,83.64,7.72,,,,,,3831.576923076923
15,1987,DC,private,2584.20564185,27599793.0625,69168.0,23611481.0,61685258.666666664,,,,4156812.8333333335,4563075.928571428,0.785103297816409,0.13750529914136742,,,,7.176470588235294,357.47058823529414,286.94117647058823,27.941176470588236,,,,,,3268.5
16,1987,DC,public,3654.3705575000004,6821073.0,,4070027.0,8651000.0,,,,1177409.0,2751046.0,0.427985936985423,0.172613458322466,,,,112.5,268.5,103.0,0.0,,,,,,3046.25
17,1987,DE,private,561.6222773333333,3778741.3333333335,,3289599.0,,53634.0,,,171160.5,489142.3333333333,0.553262478541087,0.09596799096717261,,,,72.75,76.25,27.0,0.0,,,,,,826.8333333333334
18,1987,DE,public,4492.099788199999,15215166.0,,12619282.6,1337976.0,18819211.2,,,1887034.5,2595884.2,0.348389681499351,0.11457698467733379,,,,139.8,578.4,95.6,19.2,,,,,,5778.8
19,1987,FL,private,793.912291258427,11752560.61764706,27716.8,9535021.735294119,68836.0,5042795.5,,,1425575.44,2459973.6666666665,0.5295271791808888,0.10307564058072138,,,,32.75555555555555,227.3111111111111,98.35555555555555,11.555555555555555,,,,,,981.0444444444445
20,1987,FL,public,4963.122594333333,7314415.6486486485,191827.0,5000724.162162162,2260846.3333333335,32300737.243243244,,,279396.96875,2355167.4324324327,0.1999847534340972,0.06394847344498038,,,,428.5,363.82758620689657,80.34482758620689,10.586206896551724,,,,,,5603.493670886076
21,1987,FM,public,268.230752,702025.0,,-489992.0,25000.0,,,,,1192017.0,,,,,,10.0,0.0,0.0,0.0,,,,,,332.0
