,state,fy,total_state_support,total_state_and_local_support,total_financial_aid,education_appropriations,general_public_operations,state_public_financial_aid_as_a_percent_of_education_appropriations,net_tuition_and_fee_revenue,student_share,total_education_revenue,student_share,net_fte_enrollment,state_tax_appropriations,state_public_financial_aid,out-of-state_financial_aid,institutional_discounts_and_waivers,tuition_and_fees_used_for_debt_service,gross_fte_enrollment,region,tax_appropriations,non-tax_support,other_state_support,"two-year_
public_operating","four-year_
public_operating","state_
financial_aid"
813,Wisconsin,2006,1111470921,1617694523,106954907.0,1415213377,1337439573.0,0.0549555319812385,784367472,0.356598609392603,2199580849,0.356598609392603,214065,1111470921.0,77773804.0,0.0,96832681.0,0.0,215172.0,Great Lakes,1111470921.0,0.0,0.0,,,106954907.0
814,Wyoming,2006,251244326,281308823,10969140.0,246773759,235804619.0,0.044450188076926,51191670,0.171804058517138,297965429,0.171804058517138,22483,248187326.0,10969140.0,0.0,8821068.0,0.0,22507.0,Rocky Mountain,248187326.0,0.0,3057000.0,,,10969140.0
815,U.S.,2006,70331139738,77403551899,6864676825.0,65364114486,60828214372.0,0.0693713997299114,36260738354,0.357997136105219,101287788915,0.357997136105219,9884529,67408733988.0,4534400114.0,36202706.0,5326219866.0,337063925.0,10023374.0,U.S.,67408733988.0,2323641015.0,641925640.0,,,6856406652.0
816,Alabama,2005,1214819772,1215324872,20375209.0,882129435,863875150.0,0.0206934314577089,889016616,0.501944272465874,1771146051,0.501944272465874,180517,1214819772.0,18254285.0,90600.0,0.0,0.0,185828.0,Southeast,1214819772.0,0.0,0.0,,,20375209.0
817,Alaska,2005,232956428,233660211,1507300.0,210187282,210187282.0,0.0,58628479,0.218099112871585,268815761,0.218099112871585,18720,232956428.0,0.0,1507300.0,6364832.0,0.0,18720.0,Far West,232956428.0,0.0,0.0,,,1507300.0
818,Arizona,2005,998449968,1477646268,6510600.0,1295147968,1291715968.0,0.00264989027107056,717103100,0.367551363433141,1951028268,0.367551363433141,226420,921520300.0,3432000.0,2908100.0,215331300.0,61222800.0,226849.0,Southwest,921520300.0,1912600.0,75017068.0,,,6510600.0
819,Arkansas,2005,655270998,667258738,29001838.0,500047256,478309026.0,0.04347235134113,277284010,0.399113112327231,694750439,0.399113112327231,99231,639020802.0,21738230.0,2613207.0,79782362.0,82580827.0,101198.0,Southeast,639020802.0,16250196.0,0.0,,,29001838.0
820,California,2005,9193112400,10931766400,827873000.0,9941565950,9361791400.0,0.0583182320487448,1922410953,0.162037651347238,11863976903,0.162037651347238,1446593,8804048400.0,579774550.0,0.0,754027000.0,0.0,1460058.0,Far West,8804048400.0,242564000.0,146500000.0,,,827873000.0
821,Colorado,2005,601126358,644435346,76720377.0,550896704,481848365.0,0.12533808697465,754347817,0.577936014948421,1305244521,0.577936014948421,162711,599242993.0,69048339.0,0.0,0.0,0.0,166268.0,Rocky Mountain,599242993.0,759744.0,1123621.0,,,76720377.0
822,Connecticut,2005,934765872,934765872,37408389.0,808118592,787966647.0,0.0249368659494967,417707646,0.340756000362263,1225826238,0.340756000362263,72278,934648142.0,20151945.0,518577.0,0.0,0.0,72760.0,New England,934648142.0,0.0,117730.0,,,37408389.0
823,Delaware,2005,203478000,203478000,11845562.0,193947638,183454538.0,0.0541027470517584,262393757,0.576812904761817,454902716,0.576812904761817,30541,203478000.0,10493100.0,965162.0,0.0,1438679.0,30541.0,Mideast,203478000.0,0.0,0.0,,,11845562.0
824,Florida,2005,3616495340,3616495340,458162075.0,3163962883,2833877093.0,0.104326694783164,886699197,0.218902287944,4050662080,0.218902287944,504657,3073735152.0,330085790.0,0.0,113593711.0,0.0,506386.0,Southeast,3073735152.0,536060544.0,6699644.0,,,458162075.0
825,Georgia,2005,2472780431,2474780431,434835968.0,2130921041,1741997313.0,0.182514377828606,389750881,0.155004657305738,2514446261,0.155004657305738,295356,1953578120.0,388923728.0,523500.0,156474030.0,6225661.0,300252.0,Southeast,1953578120.0,502032098.0,17170213.0,,,434835968.0
826,Hawaii,2005,409727000,409727000,1209399.0,334792180,334506781.0,0.000852466147805483,89702785,0.211316487581896,424494965,0.211316487581896,35733,409727000.0,285399.0,924000.0,0.0,0.0,36537.0,Far West,409727000.0,0.0,0.0,,,1209399.0
